fecha,nombre,ha,ms_kg_ha,ms_kg_total
2020-01,1,75.79,508.0,38512.0
2020-01,2,78.84,704.0,55467.0
2020-01,3,98.81,977.0,96513.0
2020-01,4,112.37,617.0,69279.0
2020-01,5,67.87,608.0,41267.0
2020-01,6,83.32,747.0,62253.0
2020-01,7,96.12,802.0,77087.0
2020-01,8,62.86,643.0,40396.0
2020-01,9,81.42,625.0,50867.0
2020-01,10,136.94,650.0,89020.0
2020-01,11,117.19,581.0,68124.0
2020-01,14B,53.8,181.0,9734.0
2020-01,15A,79.31,676.0,53637.0
2020-01,15B,70.0,774.0,54145.0
2020-01,Puesto,2.24,622.0,1393.0
2020-01,9B,8.86,658.0,5831.0
2020-01,14A,55.95,475.0,26549.0
2020-01,13,52.75,844.0,44506.0
2020-01,12,42.33,888.0,37588.0
2020-01,Casco,4.83,874.0,4221.0
2020-02,1,75.79,602.0,45623.0
2020-02,2,78.84,545.0,42930.0
2020-02,3,98.81,898.0,88686.0
2020-02,4,112.37,633.0,71173.0
2020-02,5,67.87,566.0,38394.0
2020-02,6,83.32,751.0,62612.0
2020-02,7,96.12,784.0,75358.0
2020-02,8,62.86,640.0,40253.0
2020-02,9,81.42,574.0,46753.0
2020-02,10,136.94,754.0,103267.0
2020-02,11,117.19,591.0,69220.0
2020-02,14B,53.8,470.0,25312.0
2020-02,15A,79.31,728.0,57743.0
2020-02,15B,70.0,478.0,33431.0
2020-02,Puesto,2.24,669.0,1498.0
2020-02,9B,8.86,680.0,6022.0
2020-02,14A,55.95,388.0,21701.0
2020-02,13,52.75,635.0,33478.0
2020-02,12,42.33,564.0,23892.0
2020-02,Casco,4.83,829.0,4006.0
2020-03,1,75.79,402.0,30492.0
2020-03,2,78.84,440.0,34656.0
2020-03,3,98.81,692.0,68373.0
2020-03,4,112.37,637.0,71561.0
2020-03,5,67.87,492.0,33406.0
2020-03,6,83.32,657.0,54714.0
2020-03,7,96.12,731.0,70266.0
2020-03,8,62.86,494.0,31044.0
2020-03,9,81.42,667.0,54290.0
2020-03,10,136.94,621.0,85059.0
2020-03,11,117.19,600.0,70354.0
2020-03,14B,53.8,463.0,24920.0
2020-03,15A,79.31,738.0,58510.0
2020-03,15B,70.0,405.0,28336.0
2020-03,Puesto,2.24,538.0,1206.0
2020-03,9B,8.86,749.0,6633.0
2020-03,14A,55.95,432.0,24174.0
2020-03,13,52.75,585.0,30845.0
2020-03,12,42.33,606.0,25670.0
2020-03,Casco,4.83,665.0,3213.0
2020-04,1,75.79,366.0,27702.0
2020-04,2,78.84,295.0,23240.0
2020-04,3,98.81,399.0,39467.0
2020-04,4,112.37,477.0,53649.0
2020-04,5,67.87,291.0,19760.0
2020-04,6,83.32,393.0,32736.0
2020-04,7,96.12,606.0,58219.0
2020-04,8,62.86,401.0,25208.0
2020-04,9,81.42,445.0,36208.0
2020-04,10,136.94,435.0,59625.0
2020-04,11,117.19,490.0,57451.0
2020-04,14B,53.8,687.0,36948.0
2020-04,15A,79.31,561.0,44458.0
2020-04,15B,70.0,306.0,21404.0
2020-04,Puesto,2.24,407.0,911.0
2020-04,9B,8.86,480.0,4253.0
2020-04,14A,55.95,544.0,30427.0
2020-04,13,52.75,477.0,25149.0
2020-04,12,42.33,462.0,19568.0
2020-04,Casco,4.83,577.0,2786.0
2020-05,1,75.79,223.0,16893.0
2020-05,2,78.84,159.0,12529.0
2020-05,3,98.81,225.0,22272.0
2020-05,4,112.37,222.0,24983.0
